ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BLZ,1.339837483,1.264168715,1.278148541,1.271991181,1.278251589,1.31855384,1.330436503,1.288263691,1.304623033,1.264905989,1.254378866,1.202771709,1.192893079,1.121168592,1.114658745,1.113326677,1.115092608,1.12732636,1.144921444,1.109759307,1.120102846,1.151228309,1.232383516,1.250777933,1.291502048,1.290495489,1.306701529,1.331451654,1.266050696,1.175549865,1.086958766,1.048620343,1.05179251,1.125383513
BMU,0.873403381,0.899160471,0.903864033,0.928815614,0.927218434,0.946124632,1.201946459,1.229116151,1.248778408,1.264749717,1.18434274,1.142403387,1.221445454,1.231631818,1.255656048,1.299813164,1.328730829,1.378739857,1.421784825,1.42781584,1.44221789,1.396796823,1.449238903,1.422048652,1.402467377,1.380702972,1.352374123,1.311136246,1.31666863,1.272723317,1.256383657,1.221463203,1.151823133,
BOL,0.948284831,1.079523656,1.194784785,1.243650165,1.314481031,1.434611155,1.57196315,1.633475888,1.729220232,1.746210919,1.796245193,1.78954173,1.811864089,1.889255105,1.986370228,2.040400629,2.249813846,2.351979382,2.547068029,2.470195982,2.654754754,2.98091197,3.033481205,3.009537636,2.982221521,2.89461967,2.779299575,2.68458724,2.702014208,2.639060974,2.582664967,2.473956823,2.429660813,2.384055482
BRA,1.16E-05,5.79E-05,0.000604804,0.012384065,0.283749422,0.539108158,0.627126072,0.664143976,0.689104221,0.733919244,0.757895424,0.802170642,0.867290573,0.970343048,1.018184751,1.060593908,1.098563541,1.13845673,1.214987473,1.295852802,1.388137023,1.473216414,1.609135865,1.708555429,1.824850525,2.005869311,2.155971596,2.209679127,2.197591543,2.216445208,2.264911175,2.37927413,2.41326595,2.436875874
BRB,1.619041432,1.636479283,1.633975884,1.679067563,1.680294688,1.662511306,1.674064585,1.66077486,1.785252511,1.838385359,1.773884531,1.773948708,1.762661939,1.747823458,1.801251887,1.86294268,1.881241308,1.989361769,1.987024055,1.9387098,1.988678514,2.018887043,2.122325635,2.144778,2.171854456,2.129127613,2.11681499,2.200443745,2.162226677,2.19438386,2.318824768,2.384203434,2.318156922,2.342554835
BRN,0.441547856,0.414985864,0.412746267,0.391289277,0.349534883,0.352192629,0.361385577,0.385757807,0.337034707,0.370862366,0.467872486,0.431982625,0.426964145,0.444257602,0.50135132,0.577334449,0.616336593,0.606802474,0.670896054,0.519481551,0.598895801,0.705206811,0.672622864,0.661425097,0.639973853,0.671476414,0.649816136,0.627636611,0.641614974,0.598504782,0.530513346,0.532498598,0.618042309,0.519406037
BTN,5.769880516,6.080162319,6.475153491,6.863720032,7.549590494,8.007142626,8.501097611,9.43561143,10.32878794,10.81308515,11.35075144,11.69328211,12.10908812,12.30501876,12.50354893,12.90892567,13.34613063,13.60327315,14.09434023,14.62766722,15.33099057,16.39680481,17.1400516,18.11942324,18.65239098,18.55403495,18.7895935,19.15760994,19.42745781,19.51221085,18.95794678,19.61039162,19.38208849,
BWA,0.865849484,0.8808906,0.918445369,1.014393094,1.087179829,1.141046559,1.301074598,1.342849399,1.460283214,1.644880896,1.836378858,1.945233199,1.938210638,1.962630064,2.103864637,2.35551238,2.455809743,2.535190503,2.720392995,3.112219798,3.31109427,3.654658079,3.956585128,4.110870547,4.261119111,4.398016906,4.533646204,4.682478428,4.786637783,4.833456516,4.737116337,4.819880486,5.161038886,5.085393025
CAF,220.1567725,212.124903,213.169762,201.0852276,244.9452322,263.6616879,249.7477406,247.5354953,243.7706622,250.1876002,265.4569434,260.7170868,250.6382805,249.0704231,231.7794764,234.1458763,234.7142046,232.7237085,244.4832475,244.7137127,251.9573599,256.7613525,261.7014402,253.5181,289.5238628,281.6784455,277.7713044,284.0335083,279.1550903,267.2586975,249.863266,241.8806763,239.4557881,238.8896557
CAN,1.241556,1.23759,1.227694,1.214689,1.206599,1.208429,1.20741,1.200565,1.185044,1.19081,1.227599,1.220464,1.229333,1.225714,1.232662,1.213644,1.205365,1.212099,1.23439,1.202244,1.22182,1.239904,1.244607,1.224,1.230358,1.248042,1.207045,1.212304,1.206524,1.21786,1.201689,1.180039,1.164518,1.169928
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,1.932927,1.970833,1.96786,1.966931,1.948616,1.922675,1.887199,1.844032,1.827602,1.802836,1.78866,1.768621,1.70976,1.715154,1.691758,1.686548,1.598858,1.531784,1.493049,1.470105,1.466316,1.397498,1.354072,1.312477,1.281761,1.235788,1.201964,1.187726,1.178866,1.133809,1.104751,1.046474,0.981279,0.966273
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,170.538946,199.962597,218.520821,236.17299,260.372212,278.801558,278.461106,282.857872,281.888512,284.052653,290.42564,296.175046,301.372381,308.248336,321.277808,333.69,318.574722,323.878962,340.400833,354.325885,359.83702,348.016847,347.228507,349.680536,367.213907,391.178861,397.250703,397.689401,396.229413,397.674408,409.841785,423.046172,426.098226,431.415905
CHN,1.693857618,1.748462607,1.849519487,2.081057195,2.45763318,2.736117997,2.861757778,2.858722872,2.801502054,2.727520343,2.722122054,2.71667416,2.691209971,2.707806331,2.820214783,2.841223484,2.86445055,3.005022656,3.178042909,3.151943271,3.32839098,3.524467707,3.540276769,3.621192961,3.693706981,3.781514936,3.874289636,4.040052414,4.094089985,4.059609413,4.014656544,3.987408876,3.791641631,3.638704153
CIV,133.1627909,129.6614076,126.7422292,131.4269467,188.368696,204.8761249,211.2183645,215.7802205,224.877757,220.0194131,218.5904614,228.4761,235.2888131,238.2971291,226.2477011,222.2241375,218.5069618,219.3138775,226.7290555,228.0608071,228.7388728,236.9105835,240.0089821,243.7631129,241.3351754,243.6352911,243.6262339,243.1855774,239.3190002,227.4831085,226.3087006,225.2888031,214.8597671,212.4554228
CMR,164.4772174,164.7745729,159.0448944,217.1968618,233.1110691,239.7235633,236.3802052,246.6960887,246.5546056,240.3919873,238.6674582,239.1755232,242.0499872,241.9991907,235.9907521,231.9216826,230.1574476,225.1859785,231.844406,238.7265351,237.4833172,238.707077,241.8081866,240.3156228,237.9785462,239.1783216,235.558762,230.5853882,223.1657715,214.8725128,205.1069946,193.4589539,190.3785075,188.6904846
COD,7.34E-10,1.73E-08,6.69E-07,1.15E-05,0.00302182,0.016764318,0.121527437,0.349612453,0.438849801,2.344954597,62.60207791,105.953237,137.4254488,152.844073,158.3160416,199.3536814,219.1594879,256.6334629,303.3104027,399.8988004,477.2234325,532.0634155,582.0245072,556.5515433,526.6711561,504.3183977,488.9378754,637.2664185,801.5734863,786.3093872,827.0042725,845.4506836,869.6623084,949.6007281
COG,101.7122532,96.92833193,93.28151634,90.09120799,120.6266542,122.1617,141.5495022,146.0580571,118.1157645,150.6571051,216.6194786,182.3488349,176.436113,165.6641351,188.4403744,221.6829945,239.5246394,248.9248627,283.9520238,222.480698,284.4722133,309.2511902,314.5498695,313.0263396,310.148249,305.8605076,308.8575622,288.9322815,267.5776978,254.9121399,240.5133362,222.7753754,246.1263416,219.4994869
COL,174.3542996,214.1963126,256.8884752,313.2779225,374.5045813,435.9615248,500.3410986,574.687615,652.2559964,724.3397665,787.2936283,820.1458157,855.7946774,896.5365696,936.644438,951.3362686,976.4737952,1000.17302,1056.60247,1092.804966,1120.764171,1168.243042,1205.59526,1210.712886,1226.732967,1285.027924,1298.142605,1328.016627,1322.160543,1312.630441,1270.743624,1316.324081,1345.664277,1401.241791
COM,165.5831481,173.1703909,157.8588557,158.5720462,169.8774276,180.2339407,182.6550996,181.2184838,181.6177312,189.4907126,191.6424334,203.5967766,208.8426933,215.2683013,216.7341976,210.8090008,210.8640671,212.5797017,215.1191029,215.9085832,216.8895514,218.9775848,213.0387169,209.6754692,203.6787654,199.85077,193.3370983,185.2477112,194.2283478,201.5426788,201.6755676,191.4807739,188.12061,187.3370485
CPV,56.19684032,56.96362592,53.40213467,77.91151449,54.02917727,52.10100454,54.11489994,52.75318165,51.99161998,55.16857334,53.29871834,54.81224405,53.77746223,55.33148709,50.47040136,48.0576896,48.7830662,48.14477141,48.98839914,49.63973761,49.36466549,49.69546127,51.0533172,51.67798109,51.5741783,50.1083686,48.94341988,47.9817543,50.68048477,49.90723801,49.99317551,48.17049408,48.39824175,48.4973795
CRI,33.35989217,53.17053075,62.24206076,67.1458023,76.044176,90.29979714,102.0443599,115.0405483,127.3431474,139.4155564,149.1282323,160.0217026,172.9945191,187.709411,207.1975496,227.042041,248.847824,267.7641928,292.7132658,319.1419424,336.211434,344.5460205,352.113803,354.456,358.2966474,357.3314179,343.013617,340.991882,337.901936,324.21736,328.024138,330.139374,330.359953,323.002654
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,0.321938711,,,,,,,,,,,,
CUW,,,,,,,,,,,1.295317659,1.289468983,1.274943271,1.270513417,1.254316825,1.266047481,1.266614457,1.270199853,1.332176505,1.347842422,1.368679066,1.324621677,1.412395148,1.422182044,1.442647003,1.441806801,1.433848535,1.393792033,1.389886498,1.354688883,1.343183994,1.278984547,1.242471531,
